wave,high_level_ethnicity,weeks_diff,patient_id
70-79,South Asian,1-<2 months,308
70-79,South Asian,>=2 months,175
70-79,Black,0-<2 weeks,70
70-79,Black,2-<4 weeks,70
70-79,Black,1-<2 months,98
70-79,Black,>=2 months,98
70-79,Other,0-<2 weeks,49
70-79,Other,2-<4 weeks,49
70-79,Other,1-<2 months,49
70-79,Other,>=2 months,49
70-79,Unknown,0-<2 weeks,1344
70-79,Unknown,2-<4 weeks,770
70-79,Unknown,1-<2 months,1015
70-79,Unknown,>=2 months,539
CEV,White,0-<2 weeks,924
CEV,White,2-<4 weeks,560
CEV,White,1-<2 months,735
CEV,White,>=2 months,504
CEV,Mixed,0-<2 weeks,56
CEV,Mixed,2-<4 weeks,49
CEV,Mixed,1-<2 months,56
CEV,Mixed,>=2 months,42
CEV,South Asian,0-<2 weeks,441
CEV,South Asian,2-<4 weeks,357
CEV,South Asian,1-<2 months,385
CEV,South Asian,>=2 months,273
CEV,Black,0-<2 weeks,154
CEV,Black,2-<4 weeks,168
CEV,Black,1-<2 months,217
CEV,Black,>=2 months,140
CEV,Other,0-<2 weeks,56
CEV,Other,2-<4 weeks,49
CEV,Other,1-<2 months,56
CEV,Other,>=2 months,49
CEV,Unknown,0-<2 weeks,623
CEV,Unknown,2-<4 weeks,497
CEV,Unknown,1-<2 months,588
CEV,Unknown,>=2 months,357
65-69,White,0-<2 weeks,700
65-69,White,2-<4 weeks,385
65-69,White,1-<2 months,441
65-69,White,>=2 months,245
65-69,Mixed,0-<2 weeks,7
65-69,Mixed,2-<4 weeks,14
65-69,Mixed,1-<2 months,7
65-69,Mixed,>=2 months,14
65-69,South Asian,0-<2 weeks,140
65-69,South Asian,2-<4 weeks,98
65-69,South Asian,1-<2 months,140
65-69,South Asian,>=2 months,77
65-69,Black,0-<2 weeks,35
65-69,Black,2-<4 weeks,21
65-69,Black,1-<2 months,35
65-69,Black,>=2 months,21
65-69,Other,0-<2 weeks,28
65-69,Other,2-<4 weeks,14
65-69,Other,1-<2 months,21
65-69,Other,>=2 months,14
65-69,Unknown,0-<2 weeks,518
65-69,Unknown,2-<4 weeks,280
65-69,Unknown,1-<2 months,280
65-69,Unknown,>=2 months,168
At risk,White,0-<2 weeks,1421
At risk,White,2-<4 weeks,805
At risk,White,1-<2 months,805
At risk,White,>=2 months,483
At risk,Mixed,0-<2 weeks,28
At risk,Mixed,2-<4 weeks,28
At risk,Mixed,1-<2 months,28
At risk,Mixed,>=2 months,14
At risk,South Asian,0-<2 weeks,273
At risk,South Asian,2-<4 weeks,203
At risk,South Asian,1-<2 months,252
At risk,South Asian,>=2 months,154
At risk,Black,0-<2 weeks,77
At risk,Black,2-<4 weeks,56
At risk,Black,1-<2 months,98
At risk,Black,>=2 months,42
At risk,Other,0-<2 weeks,35
At risk,Other,2-<4 weeks,35
At risk,Other,1-<2 months,35
At risk,Other,>=2 months,21
At risk,Unknown,0-<2 weeks,973
At risk,Unknown,2-<4 weeks,525
At risk,Unknown,1-<2 months,560
At risk,Unknown,>=2 months,322
60-64,White,0-<2 weeks,994
60-64,White,2-<4 weeks,245
60-64,White,1-<2 months,175
60-64,White,>=2 months,98
60-64,Mixed,0-<2 weeks,7
60-64,Mixed,2-<4 weeks,0
60-64,Mixed,1-<2 months,0
60-64,Mixed,>=2 months,0
60-64,South Asian,0-<2 weeks,70
60-64,South Asian,2-<4 weeks,35
60-64,South Asian,1-<2 months,42
60-64,South Asian,>=2 months,21
60-64,Black,0-<2 weeks,21
60-64,Black,2-<4 weeks,14
60-64,Black,1-<2 months,7
60-64,Black,>=2 months,7
60-64,Other,0-<2 weeks,14
60-64,Other,2-<4 weeks,14
60-64,Other,1-<2 months,7
60-64,Other,>=2 months,0
60-64,Unknown,0-<2 weeks,819
60-64,Unknown,2-<4 weeks,161
60-64,Unknown,1-<2 months,98
60-64,Unknown,>=2 months,63
55-59,White,0-<2 weeks,1974
55-59,White,2-<4 weeks,336
55-59,White,1-<2 months,168
55-59,White,>=2 months,98
55-59,Mixed,0-<2 weeks,21
55-59,Mixed,2-<4 weeks,7
55-59,Mixed,1-<2 months,7
55-59,Mixed,>=2 months,0
55-59,South Asian,0-<2 weeks,84
55-59,South Asian,2-<4 weeks,35
55-59,South Asian,1-<2 months,42
55-59,South Asian,>=2 months,21
55-59,Black,0-<2 weeks,42
55-59,Black,2-<4 weeks,21
55-59,Black,1-<2 months,21
55-59,Black,>=2 months,7
55-59,Other,0-<2 weeks,35
55-59,Other,2-<4 weeks,7
55-59,Other,1-<2 months,7
55-59,Other,>=2 months,7
55-59,Unknown,0-<2 weeks,1589
55-59,Unknown,2-<4 weeks,238
55-59,Unknown,1-<2 months,154
55-59,Unknown,>=2 months,70
50-54,White,0-<2 weeks,1197
50-54,White,2-<4 weeks,217
50-54,White,1-<2 months,210
50-54,White,>=2 months,112
50-54,Mixed,0-<2 weeks,14
50-54,Mixed,2-<4 weeks,7
50-54,Mixed,1-<2 months,7
50-54,Mixed,>=2 months,0
50-54,South Asian,0-<2 weeks,98
50-54,South Asian,2-<4 weeks,63
50-54,South Asian,1-<2 months,56
50-54,South Asian,>=2 months,21
50-54,Black,0-<2 weeks,56
50-54,Black,2-<4 weeks,21
50-54,Black,1-<2 months,21
50-54,Black,>=2 months,14
50-54,Other,0-<2 weeks,28
50-54,Other,2-<4 weeks,14
50-54,Other,1-<2 months,7
50-54,Other,>=2 months,7
50-54,Unknown,0-<2 weeks,1197
50-54,Unknown,2-<4 weeks,182
50-54,Unknown,1-<2 months,189
50-54,Unknown,>=2 months,56
